2	1976	4	8	2	40	27	6.5	7.0	1.15	26	63.65	40.41	15.0	290	46	108	84	47	72
3	1976	4	8	2	59	5	6.2	0.0	1.78	25	63.54	41.48	42.9	96	31	130	232	66	69
4	1976	5	17	2	58	40	6.3	7.0	1.40	26	63.46	40.42	15.0	225	36	85	51	54	93
5	1976	5	29	12	23	18	6.1	6.9	1.22	26	98.65	24.39	15.0	323	80	-172	232	82	-10
6	1976	5	29	14	0	18	6.0	7.0	11.20	25	98.58	24.29	15.0	242	88	0	152	90	178
7	1976	5	31	5	8	28	5.5	6.2	1.63	25	98.60	24.26	15.0	342	72	-169	249	80	-18
9	1976	7	21	15	10	45	5.8	6.3	1.98	25	98.57	24.74	15.0	338	88	-178	248	88	-2
10	1976	7	27	19	42	54	6.3	7.9	2.77	27	118.03	39.52	15.0	229	43	-163	126	79	-49
11	1976	7	28	10	45	35	6.3	7.4	3.58	26	118.78	39.75	15.0	72	44	-110	279	49	-71
12	1976	7	28	18	24	28	5.1	6.1	9.55	24	71.67	39.27	34.2	306	41	-38	66	67	-124
13	1976	8	12	23	26	46	6.4	6.1	7.99	24	97.12	26.55	15.0	148	45	93	323	45	87
14	1976	8	16	14	6	45	6.1	6.9	1.29	26	104.42	32.63	15.0	29	48	122	166	51	60
15	1976	8	21	21	49	54	6.1	6.4	3.14	25	104.29	32.37	15.3	198	40	113	349	54	72
16	1976	8	23	3	30	7	6.2	6.7	4.60	25	104.21	32.11	19.6	172	45	72	16	48	107
17	1976	11	6	18	4	8	5.8	6.5	3.64	25	101.40	27.50	22.7	19	66	-6	111	84	-156
19	1976	11	15	13	53	0	6.0	6.3	4.32	25	117.71	39.45	15.0	318	56	-9	53	83	-145
20	1976	11	27	21	42	12	6.1	0.0	8.59	24	70.64	36.33	196.2	294	41	139	57	65	57
23	1977	1	1	21	39	41	5.9	6.3	1.43	25	90.67	38.22	10.0	322	37	127	98	61	65
27	1977	1	19	0	46	18	5.9	5.8	7.25	24	94.81	37.08	10.0	289	35	68	135	58	105
28	1977	1	31	14	26	14	6.1	5.9	1.21	25	69.79	39.85	10.0	296	35	99	104	55	83
29	1977	2	3	21	31	48	5.0	0.0	7.24	23	130.49	42.59	504.7	52	53	173	147	84	37
30	1977	2	12	4	49	16	5.4	0.0	6.26	23	71.28	36.99	118.0	265	32	56	123	64	109
31	1977	2	19	6	15	25	5.4	0.0	4.76	23	78.13	31.28	10.0	346	37	-118	199	58	-71
32	1977	3	9	14	27	53	5.9	0.0	2.69	26	131.55	41.48	578.6	58	20	132	194	75	76
36	1977	4	13	11	33	51	5.3	0.0	4.34	24	70.46	36.03	209.8	244	15	113	40	76	84
37	1977	4	18	0	13	4	5.4	0.0	1.44	24	70.41	35.99	230.5	283	24	111	81	68	81
41	1977	5	12	11	17	53	5.8	5.4	5.30	24	118.00	39.56	22.0	322	52	8	227	83	142
42	1977	5	12	12	20	0	5.4	5.7	9.91	24	92.77	21.60	40.0	216	72	3	125	87	162
47	1977	5	29	2	22	3	4.9	4.5	6.38	23	64.47	23.07	10.0	135	50	-39	252	61	-133
48	1977	6	3	1	5	23	5.1	5.0	1.02	24	70.92	39.62	24.0	128	57	145	239	61	39
49	1977	6	3	2	31	4	5.5	0.0	15.32	24	70.24	36.06	210.0	289	21	71	130	70	97
