1	1976	7	28	18	24	28	5.93	9.55	24	71.67	39.27	34.2	306	41	-38	66	67	-124
2	1976	8	12	23	26	46	5.88	7.99	24	97.12	26.55	15	148	45	93	323	45	87
3	1977	1	1	21	39	46	6	1.4	18	90.67	38.22	10	322	37	127	98	61	65
4	1977	1	19	0	46	22	5.8	7.2	17	94.81	37.08	10	289	35	68	135	58	105
5	1977	1	31	14	26	19	6	1.2	18	69.79	39.85	10	296	35	99	104	55	83
6	1977	2	12	4	49	20	5.1	6.3	16	71.28	36.99	18	265	32	56	123	64	109
7	1977	2	19	6	15	27	5.1	4.8	16	78.13	31.28	10	346	37	-118	199	58	-71
8	1977	4	13	11	33	52	5.7	4.3	17	70.46	36.03	9.8	244	15	113	40	76	84
9	1977	4	18	0	13	5	5.4	1.4	17	70.41	35.99	30.5	283	24	111	81	68	81
10	1977	5	12	12	20	4	5.9	1	18	92.77	21.6	40	216	72	3	125	87	162
11	1977	6	3	1	5	26	5.3	1	17	70.92	39.62	24	128	57	145	239	61	39
12	1977	6	3	2	31	7	6.1	1.5	18	70.24	36.06	10	289	21	71	130	70	97
13	1977	7	13	8	9	19	5.5	2.5	17	67.13	29.69	15	109	75	166	203	77	16
14	1977	7	18	14	22	56	5.1	5.2	16	69.89	35.62	77.6	109	30	-47	242	69	-111
15	1977	7	23	6	57	8	5.4	1.6	17	83.59	42.2	33	299	19	118	90	74	81
16	1977	7	29	9	14	16	5.2	6.9	16	75.45	38.54	31.7	158	5	21	47	88	95
17	1977	10	13	11	32	13	5.4	1.6	17	93.16	23.27	60.8	145	41	-171	48	84	-49
18	1977	11	18	5	20	18	6.4	4.8	18	88.14	33	10	191	19	-88	9	71	-91
19	1977	12	18	16	47	21	5.9	8.6	17	77.44	39.92	15	286	27	125	68	68	74
20	1978	1	16	3	20	4	5.3	1.3	17	70.19	36.31	42.1	297	20	120	86	73	80
21	1978	2	23	23	18	37	5.1	5.4	16	94.93	23.16	22.2	331	31	44	201	69	113
22	1978	3	12	8	29	26	5.4	1.5	17	79.97	41.92	15	300	27	131	75	70	71
23	1978	3	16	2	0	6	6.1	1.8	18	66.43	29.83	39.2	104	77	-173	12	83	-13
24	1978	3	24	21	5	55	6.9	2.5	19	78.69	42.37	34.7	270	44	33	155	67	129
25	1978	4	4	0	40	35	5.9	8.4	17	82.03	33.03	10	223	59	-8	317	83	-149
26	1978	4	14	6	11	34	5	4.2	16	75.45	41.5	33	270	33	90	90	57	90
27	1978	4	21	15	22	57	6	1.4	18	70.4	36.21	48.3	197	13	116	351	78	84
28	1978	4	22	15	4	25	5.3	1	17	86.54	42.26	15	336	38	135	104	64	61
29	1978	5	6	11	16	14	5.9	7.8	17	66.2	29.8	33	101	79	-179	11	89	-11
30	1978	5	24	1	56	15	5.3	1.1	17	65.72	23.8	30	110	40	-80	277	50	-98
31	1978	7	31	11	55	45	5.5	2.1	17	81.78	35.68	10	219	28	-32	337	75	-115
32	1978	8	8	0	1	49	5.3	1	17	71.08	36.59	16.9	121	35	49	348	64	114
33	1978	10	8	14	20	8	5.9	1	18	74.29	39.48	10	246	36	27	133	74	123
34	1978	10	23	8	7	34	5.6	3	17	70.7	36.41	81.9	80	9	90	260	81	90
